"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
59953,-88.18425,18.9715,2,10.3,9.5,0.008332,"Huayabillo","Myrtaceae","Psidium","salutare","Psisal","Psidium salutare"
59953,-88.18425,18.9715,24,17.7,8.4,0.024606,"Zapote","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
59953,-88.18425,18.9715,35,10.4,9.2,0.008495,"Tabaquillo","Rubiaceae","Alseis","yucatanensis","Alsyuc","Alseis yucatanensis"
59953,-88.18425,18.9715,37,23.3,14.2,0.042639,"Chaca rojo","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
62750,-88.375833,18.488833,57,9.3,8.9,0.006793,"YAXNIC","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
62750,-88.375833,18.488833,71,12.7,10.1,0.012668,"elemuy","Annonaceae","Mosannona","depressa","Mosdep","Mosannona depressa"
62750,-88.375833,18.488833,9,14,11.3,0.015394,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62750,-88.375833,18.488833,20,9.4,10.1,0.00694,"uvero","Polygonaceae","Coccoloba","spicata","Cocspi","Coccoloba spicata"
62750,-88.375833,18.488833,27,11.8,8.3,0.010936,"majahua","Malvaceae","Hampea","trilobata","Hamtri","Hampea trilobata"
62750,-88.375833,18.488833,30,11.7,9.2,0.010751,"laurelillo","Lauraceae","Nectandra","salicifolia","Necsal","Nectandra salicifolia"
62750,-88.375833,18.488833,34,14.3,13.4,0.016061,"chakah","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
62750,-88.375833,18.488833,43,9.1,3.3,0.006504,"caobilla","Meliaceae","Swietenia","macrophylla","Swimac","Swietenia macrophylla"
62750,-88.375833,18.488833,2,10.2,8.2,0.008171,"uvero","Polygonaceae","Coccoloba","spicata","Cocspi","Coccoloba spicata"
61720,-89.020083,18.727639,14,8,5.8,0.005027,"chechem","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
61720,-89.020083,18.727639,2,7.8,6.3,0.004778,"boob","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61720,-89.020083,18.727639,34,12.3,8.1,0.011882,"sakchechen","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,46,9,7.3,0.006362,"SAKCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,49,8.9,5.4,0.006221,"boob","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61720,-89.020083,18.727639,55,10.2,6.9,0.008171,"boob","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61720,-89.020083,18.727639,58,8.7,7.3,0.005945,"chaka","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
61720,-89.020083,18.727639,72,7.9,7.4,0.004902,"SAKCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,73,9.7,6.4,0.00739,"SAKCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,49,8.9,7.9,0.006221,"kanazin","Fabaceae","Lonchocarpus","rugosus","Lonrug","Lonchocarpus rugosus"
61720,-89.020083,18.727639,5,8.1,5.6,0.005153,"PALO TINTO","Fabaceae","Haematoxylum","campechianum","Haecam","Haematoxylum campechianum"
61720,-89.020083,18.727639,40,11.2,7.8,0.009852,"JABIN","Fabaceae","Piscidia","piscipula","Pispis","Piscidia piscipula"
61720,-89.020083,18.727639,10,10,7.2,0.007854,"SACCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,17,9.4,7.3,0.00694,"CIRICOTE","Cordiaceae","Cordia","dodecandra","Cordod","Cordia dodecandra"
61720,-89.020083,18.727639,39,10.1,5.3,0.008012,"BOOB","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61720,-89.020083,18.727639,55,8.2,7.1,0.005281,"BOOB","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61720,-89.020083,18.727639,61,11.7,7.4,0.010751,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
61720,-89.020083,18.727639,74,8.6,7.3,0.005809,"CHAKA","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
61720,-89.020083,18.727639,98,8.9,7.5,0.006221,"LAURACEA","Lauraceae","Nectandra","salicifolia","Necsal","Nectandra salicifolia"
61720,-89.020083,18.727639,15,7.8,6.7,0.004778,"SACCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,3,11.5,7.9,0.010387,"SACCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
61720,-89.020083,18.727639,34,7.6,7.6,0.004536,"RAURELILLO","Lauraceae","Nectandra","salicifolia","Necsal","Nectandra salicifolia"
61720,-89.020083,18.727639,41,10,7.4,0.007854,"DZIZILCHE","Polygonaceae","Gymnopodium","floribundum","Gymflo","Gymnopodium floribundum"
61720,-89.020083,18.727639,51,23.2,6.8,0.042273,"PALO TINTO","Fabaceae","Haematoxylum","campechianum","Haecam","Haematoxylum campechianum"
61720,-89.020083,18.727639,72,15.4,7.2,0.018627,"SACCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
